Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
28921,The Remains of the Day,Kazuo Ishiguro,"Ishiguro, Kazuo",,"=""""","=""""",5,4.14,Faber & Faber,Paperback,258,2005,1989,,2022/01/03,,,read,,,,1,0
32187419,Conversations with Friends,Sally Rooney,"Rooney, Sally",,"=""0451499077""","=""9780451499073""",5,3.73,Hogarth,Kindle Edition,304,2017,2017,2021/12/24,2021/09/19,,,read,,,,1,0
46159063,The Betrayals,Bridget Collins,"Collins, Bridget",,"=""006283813X""","=""9780062838131""",5,3.47,William Morrow,Kindle Edition,419,2021,2020,,2021/02/07,,,read,,,,1,0
40275288,"The Priory of the Orange Tree (The Roots of Chaos, #1)",Samantha Shannon,"Shannon, Samantha",,"=""1408883457""","=""9781408883457""",4,4.17,Bloomsbury Publishing,ebook,848,2019,2019,2021/04/23,2021/02/07,,,read,,,,1,0
1466455,Three Wishes,Liane Moriarty,"Moriarty, Liane",,"=""""","=""""",4,3.78,Harper Paperbacks,Paperback,384,2005,2003,,2021/12/24,,,read,,,,1,0
25242224,"The Story of the Lost Child (Neapolitan Novels, #4)",Elena Ferrante,"Ferrante, Elena",Ann Goldstein,"=""1609452860""","=""9781609452865""",0,4.46,Europa Editions,Paperback,473,2015,2014,,2021/10/26,to-read,to-read (#14),to-read,,,,0,0
31850717,The Book You Wish Your Parents Had Read (And Your Children Will Be Glad That You Did),Philippa Perry,"Perry, Philippa",,"=""0241250994""","=""9780241250990""",0,4.10,Penguin UK,Hardcover,252,2019,2019,,2021/10/26,to-read,to-read (#13),to-read,,,,0,0
31451186,"Borne (Borne, #1)",Jeff Vandermeer,"Vandermeer, Jeff",,"=""0374115249""","=""9780374115241""",5,3.93,"MCD / Farrar, Straus and Giroux ",Hardcover,323,2017,2017,2021/10/26,2021/07/29,,,read,,,,1,0
17465515,"The Story of a New Name (Neapolitan Novels, #2)",Elena Ferrante,"Ferrante, Elena",Ann Goldstein,"=""""","=""""",5,4.46,Europa Editions,Paperback,471,2013,2012,2021/10/26,2021/09/19,,,read,,,,1,0
23156040,"Those Who Leave and Those Who Stay (Neapolitan Novels, #3)",Elena Ferrante,"Ferrante, Elena",Ann Goldstein,"=""""","=""""",5,4.36,Europa Editions,Paperback,418,2014,2013,,2021/10/26,,,read,,,,1,0
56597885,"Beautiful World, Where Are You",Sally Rooney,"Rooney, Sally",,"=""0374602603""","=""9780374602604""",0,3.53,"Farrar, Straus and Giroux",Hardcover,356,2021,2021,,2021/09/19,to-read,to-read (#12),to-read,,,,0,0
32827398,Spoonbenders,Daryl Gregory,"Gregory, Daryl",,"=""1524734829""","=""9781524734824""",0,3.91,Books on Tape,Audio CD,,2017,2017,,2021/09/19,to-read,to-read (#11),to-read,,,,0,0
12427659,Unpossible and Other Stories,Daryl Gregory,"Gregory, Daryl",Nancy Kress,"=""1933846305""","=""9781933846309""",0,3.97,Fairwood Press,Paperback,273,2011,2011,,2021/09/19,to-read,to-read (#10),to-read,,,,0,0
15839976,"Red Rising (Red Rising Saga, #1)",Pierce Brown,"Brown, Pierce",,"=""0345539788""","=""9780345539786""",0,4.27,Del Rey,Hardcover,382,2014,2014,2021/07/29,2021/06/17,,,read,,,,1,0
8855321,"Leviathan Wakes (The Expanse, #1)",James S.A. Corey,"Corey, James S.A.",,"=""1841499889""","=""9781841499888""",3,4.31,Orbit,Paperback,561,2011,2011,,2021/04/26,,,read,,,,1,0
17235026,"The Girl with All the Gifts (The Girl With All the Gifts, #1)",M.R. Carey,"Carey, M.R.",,"=""0356500152""","=""9780356500157""",5,3.95,Orbit ,Paperback,461,2014,2014,,2021/06/17,,,read,,,,1,0
35036409,"My Brilliant Friend (Neapolitan Novels, #1)",Elena Ferrante,"Ferrante, Elena",Ann Goldstein,"=""""","=""""",5,4.05,Penguin Random House ,Paperback,331,2012,2011,,2021/06/17,,,read,,,,1,0
43923951,Such a Fun Age,Kiley Reid,"Reid, Kiley",,"=""052554190X""","=""9780525541905""",0,3.77,G.P. Putnam's Sons,Hardcover,310,2019,2019,,2021/04/24,to-read,to-read (#9),to-read,,,,0,0
32051912,The Alice Network,Kate Quinn,"Quinn, Kate",,"=""0062654195""","=""9780062654199""",0,4.32,William Morrow Paperbacks,Paperback,503,2017,2017,,2021/04/24,to-read,to-read (#8),to-read,,,,0,0
